xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.7 m/s-VLM2
Freestream speed :, 0.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.025294,   0.043371,   0.000000,  -0.000000,   0.474338,   0.000001,  -0.000000,    0.7000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.022877,   0.040066,   0.000000,  -0.000000,   0.461934,   0.000000,  -0.000000,    0.7000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.019755,   0.036078,   0.000000,  -0.000000,   0.449320,   0.000000,  -0.000000,    0.7000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.018441,   0.033919,   0.000000,  -0.000000,   0.437145,   0.000000,  -0.000000,    0.7000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.017651,   0.032308,   0.000000,  -0.000000,   0.425084,   0.000000,  -0.000000,    0.7000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.017089,   0.030945,   0.000000,  -0.000000,   0.413055,   0.000000,  -0.000000,    0.7000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.016633,   0.029710,   0.000000,  -0.000000,   0.401026,   0.000000,  -0.000000,    0.7000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.016233,   0.028553,   0.000000,  -0.000000,   0.388984,   0.000000,  -0.000000,    0.7000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.015854,   0.027440,   0.000000,  -0.000000,   0.376922,   0.000000,  -0.000000,    0.7000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.015512,   0.026385,   0.000000,  -0.000000,   0.364843,   0.000000,  -0.000000,    0.7000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.015182,   0.025365,   0.000000,  -0.000000,   0.352743,   0.000000,  -0.000000,    0.7000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.014863,   0.024378,   0.000000,  -0.000000,   0.340621,   0.000000,  -0.000000,    0.7000,    0.5188
   -7.600,     0.000,  -0.368284,   0.008871,   0.014573,   0.023443,   0.000000,  -0.000000,   0.328480,   0.000000,  -0.000000,    0.7000,    0.5185
   -7.400,     0.000,  -0.354649,   0.008248,   0.014307,   0.022555,   0.000000,  -0.000000,   0.316321,   0.000000,  -0.000000,    0.7000,    0.5181
   -7.200,     0.000,  -0.341003,   0.007648,   0.014048,   0.021696,   0.000000,  -0.000000,   0.304142,   0.000000,  -0.000000,    0.7000,    0.5177
   -7.000,     0.000,  -0.327345,   0.007071,   0.013813,   0.020884,   0.000000,  -0.000000,   0.291944,  -0.000000,  -0.000000,    0.7000,    0.5173
   -6.800,     0.000,  -0.313677,   0.006517,   0.013590,   0.020107,   0.000000,  -0.000000,   0.279725,  -0.000000,  -0.000000,    0.7000,    0.5169
   -6.600,     0.000,  -0.299998,   0.005986,   0.013379,   0.019365,   0.000000,  -0.000000,   0.267486,  -0.000000,  -0.000000,    0.7000,    0.5165
   -6.400,     0.000,  -0.286309,   0.005478,   0.013151,   0.018629,   0.000000,  -0.000000,   0.255221,  -0.000000,  -0.000000,    0.7000,    0.5160
   -6.200,     0.000,  -0.272610,   0.004993,   0.012938,   0.017930,   0.000000,  -0.000000,   0.242938,  -0.000000,  -0.000000,    0.7000,    0.5154
   -6.000,     0.000,  -0.258903,   0.004531,   0.012696,   0.017227,   0.000000,  -0.000000,   0.230631,  -0.000000,  -0.000000,    0.7000,    0.5149
   -5.800,     0.000,  -0.245186,   0.004092,   0.012491,   0.016583,   0.000000,  -0.000000,   0.218312,  -0.000000,  -0.000000,    0.7000,    0.5142
   -5.600,     0.000,  -0.231461,   0.003676,   0.012303,   0.015979,   0.000000,  -0.000000,   0.205977,  -0.000000,  -0.000000,    0.7000,    0.5136
   -5.400,     0.000,  -0.217728,   0.003284,   0.012135,   0.015419,   0.000000,  -0.000000,   0.193627,  -0.000000,  -0.000000,    0.7000,    0.5128
   -5.200,     0.000,  -0.203987,   0.002915,   0.011974,   0.014890,   0.000000,  -0.000000,   0.181260,  -0.000000,  -0.000000,    0.7000,    0.5120
   -5.000,     0.000,  -0.190239,   0.002570,   0.011834,   0.014404,   0.000000,  -0.000000,   0.168879,  -0.000000,  -0.000000,    0.7000,    0.5110
   -4.800,     0.000,  -0.176485,   0.002248,   0.011722,   0.013970,   0.000000,  -0.000000,   0.156485,  -0.000000,  -0.000000,    0.7000,    0.5099
   -4.600,     0.000,  -0.162724,   0.001950,   0.011634,   0.013584,   0.000000,  -0.000000,   0.144077,  -0.000000,  -0.000000,    0.7000,    0.5086
   -4.400,     0.000,  -0.148957,   0.001675,   0.011560,   0.013236,   0.000000,  -0.000000,   0.131655,  -0.000000,  -0.000000,    0.7000,    0.5071
   -4.200,     0.000,  -0.135185,   0.001424,   0.011500,   0.012924,   0.000000,  -0.000000,   0.119219,  -0.000000,  -0.000000,    0.7000,    0.5054
