xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-0.4 m/s-VLM2
Freestream speed :, 0.4 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -7.600,     0.000,  -0.535687,   0.013591,   0.019681,   0.033272,   0.000000,  -0.000000,   0.436934,  -0.000000,  -0.000000,    0.4000,    0.4106
   -7.400,     0.000,  -0.521762,   0.012895,   0.019159,   0.032053,   0.000000,  -0.000000,   0.425623,  -0.000000,   0.000000,    0.4000,    0.4105
   -7.200,     0.000,  -0.507823,   0.012216,   0.018696,   0.030912,   0.000000,  -0.000000,   0.414304,  -0.000000,   0.000000,    0.4000,    0.4104
   -7.000,     0.000,  -0.493871,   0.011555,   0.018277,   0.029832,   0.000000,  -0.000000,   0.402975,  -0.000000,   0.000000,    0.4000,    0.4104
   -6.800,     0.000,  -0.479906,   0.010912,   0.017895,   0.028807,   0.000000,  -0.000000,   0.391634,  -0.000000,   0.000000,    0.4000,    0.4103
   -6.600,     0.000,  -0.465929,   0.010287,   0.017545,   0.027832,   0.000000,  -0.000000,   0.380280,  -0.000000,   0.000000,    0.4000,    0.4102
   -6.400,     0.000,  -0.451939,   0.009679,   0.017219,   0.026898,   0.000000,  -0.000000,   0.368914,  -0.000000,   0.000000,    0.4000,    0.4102
   -6.200,     0.000,  -0.437938,   0.009090,   0.016913,   0.026003,   0.000000,  -0.000000,   0.357534,  -0.000000,   0.000000,    0.4000,    0.4101
   -6.000,     0.000,  -0.423925,   0.008518,   0.016625,   0.025143,   0.000000,  -0.000000,   0.346141,  -0.000000,   0.000000,    0.4000,    0.4101
   -5.800,     0.000,  -0.409902,   0.007964,   0.016352,   0.024316,   0.000000,  -0.000000,   0.334736,  -0.000000,   0.000000,    0.4000,    0.4100
   -5.600,     0.000,  -0.395867,   0.007429,   0.016091,   0.023520,   0.000000,  -0.000000,   0.323317,  -0.000000,   0.000000,    0.4000,    0.4099
   -5.400,     0.000,  -0.381822,   0.006912,   0.015835,   0.022747,   0.000000,  -0.000000,   0.311886,  -0.000000,   0.000000,    0.4000,    0.4099
   -5.200,     0.000,  -0.367768,   0.006413,   0.015571,   0.021984,   0.000000,  -0.000000,   0.300442,  -0.000000,   0.000000,    0.4000,    0.4098
   -5.000,     0.000,  -0.353703,   0.005932,   0.015294,   0.021226,   0.000000,  -0.000000,   0.288985,  -0.000000,   0.000000,    0.4000,    0.4098
   -4.800,     0.000,  -0.339629,   0.005470,   0.014998,   0.020468,   0.000000,  -0.000000,   0.277515,  -0.000000,   0.000000,    0.4000,    0.4097
   -4.600,     0.000,  -0.325547,   0.005026,   0.014703,   0.019728,   0.000000,  -0.000000,   0.266035,  -0.000000,   0.000000,    0.4000,    0.4097
   -4.400,     0.000,  -0.311456,   0.004601,   0.014486,   0.019087,   0.000000,  -0.000000,   0.254547,  -0.000000,   0.000000,    0.4000,    0.4097
   -4.200,     0.000,  -0.297357,   0.004194,   0.014330,   0.018523,   0.000000,  -0.000000,   0.243051,  -0.000000,   0.000000,    0.4000,    0.4096
   -4.000,     0.000,  -0.283250,   0.003805,   0.014202,   0.018008,   0.000000,  -0.000000,   0.231547,  -0.000000,   0.000000,    0.4000,    0.4096
   -3.800,     0.000,  -0.269135,   0.003436,   0.014089,   0.017525,   0.000000,  -0.000000,   0.220033,  -0.000000,   0.000000,    0.4000,    0.4095
   -3.600,     0.000,  -0.255014,   0.003085,   0.013986,   0.017071,   0.000000,  -0.000000,   0.208510,  -0.000000,   0.000000,    0.4000,    0.4095
   -3.400,     0.000,  -0.240885,   0.002753,   0.013893,   0.016646,   0.000000,  -0.000000,   0.196978,  -0.000000,   0.000000,    0.4000,    0.4095
   -3.200,     0.000,  -0.226751,   0.002439,   0.013808,   0.016247,   0.000000,  -0.000000,   0.185438,  -0.000000,   0.000000,    0.4000,    0.4094
   -3.000,     0.000,  -0.212610,   0.002145,   0.013729,   0.015874,   0.000000,  -0.000000,   0.173890,  -0.000000,   0.000000,    0.4000,    0.4094
   -2.800,     0.000,  -0.198464,   0.001869,   0.013658,   0.015527,   0.000000,  -0.000000,   0.162334,  -0.000000,   0.000000,    0.4000,    0.4094
   -2.600,     0.000,  -0.184313,   0.001612,   0.013594,   0.015206,   0.000000,  -0.000000,   0.150772,  -0.000000,  -0.000000,    0.4000,    0.4094
