xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-0.2 m/s-VLM2
Freestream speed :, 0.2 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -7.200,     0.000,  -0.507782,   0.012214,   0.040556,   0.052770,   0.000000,  -0.000000,   0.417453,  -0.000000,   0.000000,    0.2000,    0.4104
   -7.000,     0.000,  -0.493830,   0.011553,   0.030658,   0.042211,   0.000000,  -0.000000,   0.404601,  -0.000000,  -0.000000,    0.2000,    0.4104
   -6.800,     0.000,  -0.479865,   0.010910,   0.027139,   0.038049,   0.000000,  -0.000000,   0.392714,  -0.000000,   0.000000,    0.2000,    0.4103
   -6.600,     0.000,  -0.465888,   0.010285,   0.025993,   0.036278,   0.000000,  -0.000000,   0.381232,  -0.000000,  -0.000000,    0.2000,    0.4102
   -6.400,     0.000,  -0.451898,   0.009677,   0.024299,   0.033977,   0.000000,  -0.000000,   0.369645,  -0.000000,  -0.000000,    0.2000,    0.4102
   -6.200,     0.000,  -0.437897,   0.009088,   0.023398,   0.032486,   0.000000,  -0.000000,   0.358171,  -0.000000,  -0.000000,    0.2000,    0.4101
   -6.000,     0.000,  -0.423884,   0.008516,   0.022502,   0.031018,   0.000000,  -0.000000,   0.346693,  -0.000000,  -0.000000,    0.2000,    0.4101
   -5.800,     0.000,  -0.409860,   0.007963,   0.021772,   0.029735,   0.000000,  -0.000000,   0.335214,  -0.000000,  -0.000000,    0.2000,    0.4100
   -5.600,     0.000,  -0.395826,   0.007427,   0.020991,   0.028419,   0.000000,   0.000000,   0.323726,  -0.000000,  -0.000000,    0.2000,    0.4099
   -5.400,     0.000,  -0.381781,   0.006910,   0.020478,   0.027388,   0.000000,  -0.000000,   0.312252,  -0.000000,  -0.000000,    0.2000,    0.4099
   -5.200,     0.000,  -0.367726,   0.006411,   0.019924,   0.026336,   0.000000,  -0.000000,   0.300762,  -0.000000,  -0.000000,    0.2000,    0.4098
   -5.000,     0.000,  -0.353662,   0.005931,   0.019430,   0.025361,   0.000000,   0.000000,   0.289269,  -0.000000,  -0.000000,    0.2000,    0.4098
   -4.800,     0.000,  -0.339588,   0.005468,   0.019179,   0.024648,   0.000000,  -0.000000,   0.277781,  -0.000000,   0.000000,    0.2000,    0.4097
   -4.600,     0.000,  -0.325505,   0.005025,   0.018714,   0.023738,   0.000000,  -0.000000,   0.266267,  -0.000000,   0.000000,    0.2000,    0.4097
   -4.400,     0.000,  -0.311414,   0.004599,   0.018514,   0.023113,   0.000000,  -0.000000,   0.254770,  -0.000000,  -0.000000,    0.2000,    0.4097
   -4.200,     0.000,  -0.297315,   0.004193,   0.018457,   0.022649,   0.000000,  -0.000000,   0.243270,  -0.000000,  -0.000000,    0.2000,    0.4096
   -4.000,     0.000,  -0.283208,   0.003804,   0.018438,   0.022243,   0.000000,  -0.000000,   0.231760,  -0.000000,  -0.000000,    0.2000,    0.4096
   -3.800,     0.000,  -0.269093,   0.003435,   0.018438,   0.021873,   0.000000,  -0.000000,   0.220241,  -0.000000,  -0.000000,    0.2000,    0.4095
   -3.600,     0.000,  -0.254972,   0.003084,   0.018245,   0.021329,   0.000000,  -0.000000,   0.208705,  -0.000000,  -0.000000,    0.2000,    0.4095
   -3.400,     0.000,  -0.240844,   0.002752,   0.018254,   0.021006,   0.000000,   0.000000,   0.197167,  -0.000000,   0.000000,    0.2000,    0.4095
   -3.200,     0.000,  -0.226709,   0.002438,   0.018278,   0.020717,   0.000000,  -0.000000,   0.185619,  -0.000000,  -0.000000,    0.2000,    0.4094
   -3.000,     0.000,  -0.212569,   0.002144,   0.018311,   0.020454,   0.000000,  -0.000000,   0.174063,  -0.000000,  -0.000000,    0.2000,    0.4094
   -2.800,     0.000,  -0.198423,   0.001868,   0.018187,   0.020055,   0.000000,  -0.000000,   0.162491,  -0.000000,  -0.000000,    0.2000,    0.4094
   -2.600,     0.000,  -0.184271,   0.001611,   0.018027,   0.019638,   0.000000,  -0.000000,   0.150914,  -0.000000,  -0.000000,    0.2000,    0.4093
   -2.400,     0.000,  -0.170115,   0.001373,   0.018093,   0.019466,   0.000000,  -0.000000,   0.139335,  -0.000000,   0.000000,    0.2000,    0.4093
   -2.200,     0.000,  -0.155955,   0.001154,   0.017931,   0.019085,   0.000000,  -0.000000,   0.127738,  -0.000000,   0.000000,    0.2000,    0.4093
   -2.000,     0.000,  -0.141790,   0.000954,   0.017729,   0.018683,   0.000000,  -0.000000,   0.116137,  -0.000000,  -0.000000,    0.2000,    0.4093
   -1.800,     0.000,  -0.127622,   0.000773,   0.017339,   0.018112,   0.000000,  -0.000000,   0.104530,  -0.000000,  -0.000000,    0.2000,    0.4093
   -1.600,     0.000,  -0.113450,   0.000611,   0.017339,   0.017950,   0.000000,  -0.000000,   0.092926,  -0.000000,  -0.000000,    0.2000,    0.4092
   -1.400,     0.000,  -0.099275,   0.000468,   0.017154,   0.017621,   0.000000,  -0.000000,   0.081316,   0.000000,  -0.000000,    0.2000,    0.4092
   -1.200,     0.000,  -0.085098,   0.000344,   0.017024,   0.017368,   0.000000,  -0.000000,   0.069704,   0.000000,  -0.000000,    0.2000,    0.4092
   -1.000,     0.000,  -0.070918,   0.000239,   0.016914,   0.017152,   0.000000,  -0.000000,   0.058090,   0.000000,  -0.000000,    0.2000,    0.4092
   -0.800,     0.000,  -0.056737,   0.000153,   0.016823,   0.016976,   0.000000,  -0.000000,   0.046475,   0.000000,  -0.000000,    0.2000,    0.4092
   -0.600,     0.000,  -0.042554,   0.000086,   0.016735,   0.016820,   0.000000,  -0.000000,   0.034857,  -0.000000,  -0.000000,    0.2000,    0.4092
   -0.400,     0.000,  -0.028370,   0.000038,   0.016640,   0.016678,   0.000000,  -0.000000,   0.023238,   0.000000,  -0.000000,    0.2000,    0.4092
   -0.200,     0.000,  -0.014185,   0.000010,   0.016511,   0.016520,   0.000000,  -0.000000,   0.011619,   0.000000,   0.000000,    0.2000,    0.4092
    0.000,     0.000,   0.000000,   0.000000,   0.016794,   0.016794,   0.000000,   0.000000,   0.000000,  -0.000000,   0.000000,    0.2000,    0.0000
    0.200,     0.000,   0.014185,   0.000010,   0.016511,   0.016520,   0.000000,   0.000000,  -0.011619,   0.000000,  -0.000000,    0.2000,    0.4092
    0.400,     0.000,   0.028370,   0.000038,   0.016640,   0.016678,   0.000000,   0.000000,  -0.023238,   0.000000,  -0.000000,    0.2000,    0.4092
    0.600,     0.000,   0.042554,   0.000086,   0.016735,   0.016820,   0.000000,   0.000000,  -0.034857,   0.000000,  -0.000000,    0.2000,    0.4092
    0.800,     0.000,   0.056737,   0.000153,   0.016823,   0.016976,   0.000000,   0.000000,  -0.046475,   0.000000,   0.000000,    0.2000,    0.4092
    1.000,     0.000,   0.070918,   0.000239,   0.016913,   0.017152,   0.000000,   0.000000,  -0.058090,   0.000000,  -0.000000,    0.2000,    0.4092
    1.200,     0.000,   0.085098,   0.000344,   0.017023,   0.017367,   0.000000,   0.000000,  -0.069704,   0.000000,  -0.000000,    0.2000,    0.4092
    1.400,     0.000,   0.099275,   0.000468,   0.017152,   0.017619,   0.000000,   0.000000,  -0.081316,   0.000000,  -0.000000,    0.2000,    0.4092
    1.600,     0.000,   0.113450,   0.000611,   0.017341,   0.017952,   0.000000,   0.000000,  -0.092926,  -0.000000,   0.000000,    0.2000,    0.4092
    1.800,     0.000,   0.127622,   0.000773,   0.017347,   0.018120,   0.000000,   0.000000,  -0.104530,  -0.000000,  -0.000000,    0.2000,    0.4093
    2.000,     0.000,   0.141790,   0.000954,   0.017727,   0.018681,   0.000000,   0.000000,  -0.116137,  -0.000000,  -0.000000,    0.2000,    0.4093
    2.200,     0.000,   0.155955,   0.001154,   0.017929,   0.019083,   0.000000,   0.000000,  -0.127738,  -0.000000,  -0.000000,    0.2000,    0.4093
    2.400,     0.000,   0.170115,   0.001373,   0.018166,   0.019539,   0.000000,   0.000000,  -0.139338,  -0.000000,  -0.000000,    0.2000,    0.4093
    2.600,     0.000,   0.184271,   0.001611,   0.018307,   0.019918,   0.000000,   0.000000,  -0.150928,  -0.000000,  -0.000000,    0.2000,    0.4093
    2.800,     0.000,   0.198423,   0.001868,   0.018573,   0.020441,   0.000000,   0.000000,  -0.162512,  -0.000000,  -0.000000,    0.2000,    0.4094
    3.000,     0.000,   0.212569,   0.002144,   0.018584,   0.020728,   0.000000,   0.000000,  -0.174080,  -0.000000,  -0.000000,    0.2000,    0.4094
    3.200,     0.000,   0.226709,   0.002438,   0.018593,   0.021031,   0.000000,  -0.000000,  -0.185640,  -0.000000,  -0.000000,    0.2000,    0.4094
    3.400,     0.000,   0.240844,   0.002752,   0.018610,   0.021362,   0.000000,   0.000000,  -0.197192,  -0.000000,   0.000000,    0.2000,    0.4095
    3.600,     0.000,   0.254972,   0.003084,   0.018643,   0.021727,   0.000000,   0.000000,  -0.208735,  -0.000000,  -0.000000,    0.2000,    0.4095
    3.800,     0.000,   0.269093,   0.003435,   0.018876,   0.022311,   0.000000,   0.000000,  -0.220276,  -0.000000,   0.000000,    0.2000,    0.4095
